,school_dist,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,sat_score,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5,Total Cohort,Total Grads - % of cohort,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - % of cohort,Local - % of grads,Still Enrolled - % of cohort,Dropped Out - % of cohort,CSD,NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,SCHOOLWIDE PUPIL-TEACHER RATIO,schoolyear,fl_percent,frl_percent,total_enrollment,ell_num,ell_percent,sped_num,sped_percent,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,rr_s,rr_t,rr_p,N_s,N_t,N_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11,grade_span_min,grade_span_max,expgrade_span_min,expgrade_span_max,postcode,total_students,number_programs,priority08,priority09,priority10,Community Board,Council District,Census Tract,BIN,BBL,lat,lon
7,08,386.21438263229305,395.5427408412483,377.9080054274084,1159.6651289009499,118.37937062937063,168.020979020979,144.7318181818182,215.51026392961876,59.51447696139478,44.75993150684931,73.60993439550138,6.968866749688669,10.611433926897842,37.799782067247826,62.9892221180881,14.745641344956415,26.39006560449859,22.88860523038606,14.367496886674967,8.0,129.76509854954128,5.165710386105122,23.813192294032078,19.38535469948009,27.36214127719546,0.0,20112012.0,0.0,76.66363636363634,684.5454545454545,72.9090909090909,15.79090909090909,140.54545454545453,19.60909090909091,30.272727272727273,2.809090909090909,179.8181818181818,27.809090909090912,433.54545454545456,66.10909090909091,36.18181818181818,2.5545454545454547,355.0,45.45454545454545,329.54545454545456,54.54545454545455,69.45454545454545,77.63636363636364,36.63636363636363,459.83712121212125,34.0,148.54545454545453,8.172727272727272,7.636363636363637,7.454545454545454,7.718181818181819,7.1090909090909085,6.254545454545453,6.781818181818181,7.390909090909091,6.364696969696968,5.954065656565657,6.4018434343434345,7.143762626262627,7.218181818181819,6.645454545454545,6.863636363636363,7.409090909090909,8.454545454545455,12.0,0.0,12.0,10467.0,547.6363636363636,1.2727272727272727,0.0,0.0,0.0,7.2727272727272725,16.727272727272727,67.9090909090909,2037043.3636363635,2036722747.909091,40.82380315027273,-73.8660873901818
8,09,373.7559701492537,383.5828358208955,374.6331343283582,1131.9719402985074,71.41153846153847,104.26538461538459,98.47000000000001,113.33064516129032,67.60796232876713,51.35296232876711,74.99046391752577,7.747876712328768,10.466288659793813,43.6048801369863,64.51407216494844,16.25510273972603,25.00953608247423,21.308732876712327,8.572123287671232,9.0,100.11858848667673,4.335503618113913,23.98637927350427,19.543005458593694,28.44712763951734,0.0,20112012.0,0.0,76.8,442.8,78.9,19.945,74.15,16.654999999999998,7.0,1.48,151.9,33.11,278.25,64.135,3.0,0.6649999999999999,220.7,48.99499999999999,222.05,50.995000000000005,84.2,84.65,40.65,349.15,25.45,162.3,8.510000000000002,7.9300000000000015,7.754999999999998,8.08,6.935,6.305000000000001,6.904999999999999,7.355000000000001,6.654999999999999,6.145,6.705,7.49,7.364999999999999,6.794999999999999,7.109999999999999,7.664999999999999,8.25,12.0,0.0,12.0,10456.1,449.7,1.15,0.0,0.0,0.0,3.55,15.75,5243.75,2022457.15,2027913013.35,40.83634865645024,-73.90624017769998
9,10,403.3636363636364,418.0,400.8636363636364,1222.2272727272727,132.2312062937063,226.91433566433568,191.6181818181818,161.3181818181818,68.6569582814446,55.779685554171856,79.71983755076538,16.609962640099624,20.18826929084661,39.16511519302615,59.53608247422679,12.881849315068491,20.280162449234613,18.14355541718556,10.103673723536739,10.0,168.87652567161084,6.512691384982406,24.244350372494726,18.897297484507238,28.583860046901847,0.0,20112012.0,0.0,72.26818181818182,818.5454545454545,129.0909090909091,18.177272727272726,99.04545454545455,13.622727272727275,119.68181818181819,6.631818181818182,169.0909090909091,23.027272727272727,453.54545454545456,63.27272727272726,71.4090909090909,6.527272727272726,413.1818181818182,48.58636363636364,405.3636363636364,51.41363636363636,82.72727272727273,82.13636363636364,43.0,648.7727272727273,43.5,303.59090909090907,8.272727272727272,7.7681818181818185,7.622727272727272,7.927272727272729,6.972727272727273,6.154545454545453,6.7,7.309090909090909,6.577272727272727,6.040909090909093,6.654545454545455,7.409090909090909,7.268181818181817,6.645454545454545,6.986363636363635,7.536363636363637,8.318181818181818,12.0,0.0,12.0,10463.181818181818,757.8636363636364,1.5,0.0,0.0,0.0,7.0,12.227272727272727,1686.0454545454545,1856268.0909090908,1850557834.7727273,40.87034531840914,-73.89835998022726
10,11,389.8666666666667,394.53333333333336,380.6,1165.0,83.81346153846154,122.48461538461537,108.83333333333334,122.86666666666666,70.71333333333334,54.333333333333336,75.30666666666666,8.893333333333334,11.613333333333335,45.440000000000005,63.70000000000001,16.38,24.693333333333335,18.18,8.466666666666667,11.0,129.03103145936737,5.037051902632397,24.956523002768357,19.78446938424492,29.52354894589414,0.0,20112012.0,0.0,66.96000000000001,562.4666666666667,61.666666666666664,12.13333333333333,105.6,17.38,19.8,3.8466666666666662,243.0,41.34666666666667,278.26666666666665,50.84666666666667,16.4,3.1133333333333337,319.8666666666667,55.89999999999999,242.6,44.1,80.4,79.93333333333334,42.46666666666667,400.73333333333335,27.466666666666665,190.8,8.053333333333333,7.6933333333333325,7.546666666666668,7.826666666666665,7.026666666666666,6.766666666666666,6.999999999999999,7.540000000000001,6.1866666666666665,5.746666666666666,6.26,7.213333333333334,7.086666666666665,6.74,6.94,7.526666666666666,9.0,12.0,0.0,12.0,10467.933333333332,563.6666666666666,1.5333333333333334,0.0,0.0,0.0,11.466666666666667,12.266666666666667,6469.733333333334,2064513.5333333334,2046690713.0666666,40.87313832913333,-73.8561195362
11,12,364.7699004975124,379.1094527363184,357.94378109452737,1101.8231343283583,93.1025641025641,139.44230769230765,153.45000000000002,110.46774193548386,65.4593607305936,49.89269406392694,76.17880870561281,6.514726027397262,8.680641466208472,43.37751141552511,67.4979381443299,15.558561643835617,23.821191294387166,20.09440639269407,10.218607305936072,12.0,91.68450410313801,4.151865335601791,22.21207760301704,18.48731245105084,25.804834326535175,0.0,20112012.0,0.0,81.73333333333333,391.0,105.5,27.14166666666667,70.66666666666667,17.21666666666667,5.5,1.5916666666666666,109.75,28.075000000000003,271.75,69.275,3.0,0.8250000000000002,199.91666666666666,50.13333333333335,191.08333333333334,49.86666666666665,80.0,79.75,49.166666666666664,277.3333333333333,21.166666666666668,163.08333333333334,8.65,8.008333333333335,7.808333333333334,8.166666666666666,7.266666666666668,6.758333333333333,7.25,7.816666666666667,7.116666666666667,6.566666666666667,7.116666666666666,7.783333333333334,7.666666666666667,7.1000000000000005,7.391666666666667,7.916666666666665,8.5,12.0,0.0,12.0,10463.166666666666,409.0,1.0833333333333333,0.0,0.0,0.0,5.083333333333333,17.0,120.08333333333333,2024516.25,2032602514.75,40.83141226741667,-73.88694636583334
12,13,409.3938002296211,424.12743972445463,403.6663605051665,1237.1876004592423,232.9319526627219,382.70414201183434,320.77307692307687,224.59553349875932,74.68508956796629,62.23893572181243,81.3748347872059,20.31064278187566,24.321834522865444,41.95115911485774,57.04520222045995,12.453951527924131,18.62516521279408,17.84741833508957,5.373972602739726,13.0,218.30605514031623,8.00384158127073,24.621783576297748,19.62524073991685,28.672264858398464,0.0,20112012.0,0.0,63.861538461538466,902.0,35.46153846153846,8.723076923076924,65.6923076923077,12.084615384615386,272.46153846153845,10.453846153846154,416.0,68.47692307692307,110.0,16.27692307692308,96.23076923076923,3.623076923076922,482.7692307692308,48.70769230769231,419.2307692307692,51.29230769230769,84.15384615384616,77.61538461538461,35.76923076923077,759.8461538461538,40.0,318.38461538461536,8.330769230769231,7.700000000000001,7.6923076923076925,7.884615384615385,7.092307692307691,6.8307692307692305,7.069230769230769,7.6,6.407692307692307,6.069230769230769,6.576923076923077,7.376923076923077,7.269230769230769,6.86923076923077,7.1230769230769235,7.607692307692307,8.538461538461538,12.0,0.0,12.0,11207.153846153846,895.1538461538462,2.076923076923077,0.0,0.0,0.0,2.6153846153846154,33.84615384615385,100.84615384615384,3149542.6923076925,3009073088.1538463,40.69286456007693,-73.9770159906923
13,14,395.93710021321965,398.1897654584222,385.33304904051175,1179.4599147121535,77.79807692307693,114.87362637362637,123.28214285714287,112.34792626728111,69.43615459882582,55.0075831702544,77.08377515954835,7.502739726027398,8.791703485517917,47.49750489236792,68.29911634756995,14.421526418786694,22.916224840451644,19.53688845401174,8.38297455968689,14.0,123.64372819640677,4.905127114948543,24.311291208791207,19.55494505494506,28.511594060701203,0.0,20112012.0,0.0,75.92857142857143,556.2142857142857,57.785714285714285,9.485714285714286,97.71428571428571,18.599999999999998,19.5,3.8714285714285714,222.42857142857142,42.228571428571435,291.92857142857144,49.66428571428572,18.714285714285715,3.507142857142857,324.7142857142857,58.050000000000004,231.5,41.942857142857136,77.71428571428571,85.5,35.07142857142857,395.64285714285717,32.42857142857143,158.21428571428572,8.357142857142858,7.864285714285715,7.7357142857142875,7.971428571428571,7.2714285714285705,6.6499999999999995,7.257142857142857,7.735714285714287,6.685714285714285,6.207142857142857,6.742857142857143,7.507142857142859,7.435714285714286,6.9142857142857155,7.25,7.750000000000001,8.571428571428571,12.0,0.0,12.0,11210.785714285714,545.3571428571429,2.0,0.0,0.0,0.0,1.1428571428571428,33.642857142857146,491.14285714285717,3142768.714285714,3026164290.142857,40.711599394785786,-73.9483599972857
14,15,395.67993366500826,404.6285240464345,390.2958540630182,1190.604311774461,94.57478632478633,141.58119658119656,153.45000000000002,104.2078853046595,64.50589802130898,47.76145357686453,72.84849179075982,3.91324200913242,5.64910271095838,43.836948249619475,67.19931271477662,16.744520547945207,27.15150820924017,23.950913242009133,6.808980213089801,15.0,135.70731922398588,5.2365883390393195,25.423643272123666,20.900953159041396,29.287014991181664,0.0,20112012.0,0.0,70.8,562.6666666666666,48.888888888888886,8.844444444444443,103.33333333333333,17.866666666666667,26.333333333333332,4.966666666666667,251.77777777777777,47.0,246.11111111111111,41.26666666666667,36.44444444444444,6.377777777777777,270.6666666666667,48.21111111111111,292.0,51.788888888888884,81.44444444444444,82.88888888888889,32.333333333333336,433.0,34.77777777777778,170.0,8.077777777777778,7.577777777777778,7.477777777777778,7.844444444444444,6.566666666666666,5.877777777777776,6.288888888888889,7.011111111111111,6.177777777777778,5.9,6.333333333333334,7.222222222222222,6.933333333333334,6.444444444444445,6.7,7.366666666666666,7.666666666666667,12.0,0.0,12.0,11214.222222222223,573.1111111111111,1.6666666666666667,0.0,0.0,0.0,5.666666666666667,36.22222222222222,95.33333333333333,3091898.777777778,3006328895.111111,40.67597201177778,-73.98925499922221
15,16,371.52985074626866,379.1641791044776,369.41567164179105,1120.1097014925374,82.26442307692308,126.51923076923077,153.45,247.18548387096774,64.3265410958904,52.5015410958904,80.81821305841923,8.73458904109589,11.545962199312708,43.766267123287676,69.32190721649485,11.825342465753428,19.18178694158075,22.2541095890411,9.340410958904108,16.0,177.50128205128206,6.9705128205128215,24.234006410256406,18.070192307692306,29.308333333333334,0.0,20112012.0,0.0,66.14999999999999,658.5,18.75,3.7249999999999996,131.75,19.775,4.75,1.075,562.0,80.14999999999999,80.75,16.9,4.5,0.925,377.75,53.4,280.75,46.6,68.5,75.25,19.5,458.0,31.5,122.0,7.375,6.9,6.875,7.075,5.75,5.25,6.025,6.275,5.875,5.775,6.225,7.1000000000000005,6.325000000000001,5.9750000000000005,6.375,6.824999999999999,9.0,12.0,0.0,12.0,11219.0,440.25,1.75,0.0,0.0,0.0,3.0,37.25,307.0,3131324.75,3016037501.0,40.688007514,-73.92968620575
16,17,386.57142857142856,394.07142857142856,380.7857142857143,1161.4285714285713,105.58379120879123,163.0879120879121,111.3607142857143,121.35714285714286,68.56428571428572,54.49285714285714,79.03831615120274,8.12857142857143,11.431566028473243,46.35,67.59955817378498,14.064285714285717,20.961683848797254,22.564285714285717,6.492857142857143,17.0,130.24619219482665,5.135694405967515,25.40885406085511,20.284340915853523,29.620045518207284,0.0,20112012.0,0.0,67.63571428571427,554.2857142857143,52.357142857142854,11.28571428571429,54.57142857142857,10.62142857142857,16.857142857142858,3.607142857142857,474.2857142857143,83.07142857142857,50.642857142857146,10.664285714285716,9.0,2.05,242.85714285714286,47.99999999999999,311.42857142857144,52.00000000000001,78.78571428571429,77.71428571428571,41.214285714285715,426.42857142857144,27.357142857142858,209.85714285714286,7.835714285714287,7.6428571428571415,7.549999999999999,7.828571428571428,6.957142857142856,6.6000000000000005,7.192857142857143,7.642857142857143,6.007142857142858,5.885714285714286,6.3999999999999995,7.228571428571429,6.935714285714285,6.707142857142858,7.0357142857142865,7.57142857142857,7.928571428571429,12.0,0.0,12.0,11220.642857142857,547.0714285714286,1.6428571428571428,0.0,0.0,0.0,10.785714285714286,37.857142857142854,556.1428571428571,3178521.0,3033695005.928571,40.66031269000022,-73.95563569785713
